document_control_number,total_release,medium
1320219055100,1816,air
1323222341556,43,air
1321219773557,0,air
1323221580830,5,air
1315213732252,0,air
1323221933450,255,air
1324222679007,0,air
1323221664612,328,air
1316215671367,1,air
1314212727022,13750,air
1315214229193,10073,air
1314213029477,10,air
1323221724952,285063,air
1314212440073,33502,air
1316215381397,18670,air
1318217336243,0,air
1314212403303,0,air
1322221261720,0,air
1314213125990,0,air
1318216946703,0,air
1323221821438,498,air
1320218682856,49881,air
1315213666175,4133,air
1318217183019,0,air
1314212372369,0,air
1324222576579,0,air
1315214052324,0,air
1321220140065,1423,air
1314214973428,543,air
1319218568121,0,air
1320221489483,10,air
1320218847477,0,air
1319218268959,0,air
1319218276412,21,air
1315213860380,108,air
1319218447201,0,air
1322221384581,2120,air
1319218326623,4759,air
1324223206184,0,air
1314212953881,1,air
1315213716095,36,air
1323222329082,0,air
1323222136828,0,air
1318216727711,9000,air
1320218940587,0,air
1320219359181,1,air
1319218378533,0,air
1318217041045,0,air
1322221468236,12,air
1318217383355,26489,air
1317216114809,613,air
1314212703716,0,air
1314212324370,44372,air
1315213950177,1,air
1316215544949,11600,air
1315214339158,2131,air
1324222759084,0,air
1324223123769,10,air
1316215117906,11,air
1321219601008,0,air
1316215129913,120,air
1315214423319,0,air
1322220787396,0,air
1315213641816,10,air
1317215948593,0,air
1320219395997,0,air
1321219680624,0,air
1315214416036,22330,air
1315213984141,5284,air
1320219171461,35,air
1321219697923,0,air
1315214104996,500,air
1324222650741,10,air
1322221507445,0,air
1321220116521,0,air
1324222800649,0,air
1319217968801,2,air
1317215997875,0,air
1319218082790,12,air
1316215390547,134994,air
1321219644679,16114,air
1316215023488,628,air
1320220217929,10,air
1323221628542,0,air
1315213819889,11,air
1314212321273,10,air
1318220606988,1250,air
1316215670643,0,air
1324222553125,0,air
1324222851622,705,air
1324222424347,0,air
1323221844816,99,air
1317216234714,1,air
1319218069502,270,air
1320218958066,0,air
1322220838155,11,air
1315213696646,3596,air
1314212637526,11160,air
1319217760584,10,air
1321220167769,0,air
1314212504486,157,air
1318217819438,351,air
1317216180822,360,air
1314212943409,1728,air
1314212997579,1457,air
1324222899522,0,air
1314212993808,9,air
1315213701675,0,air
1315214067314,0,air
1322221467350,10,air
1317222367892,2,air
1314212434702,5,air
1314213022142,0,air
1322220634909,74,air
1315213554874,698,air
1318217221252,1287,air
1323221558529,1500,air
1314212551511,4776,air
1314212423281,67,air
1318217419617,525,air
1318216958405,0,air
1315214496578,0,air
1315213984293,19,air
1320218720466,0,air
1316215553811,0,air
1315213200316,0,air
1314212684676,398,air
1314212543829,500,air
1321219529120,1321,air
1321219720428,3,air
1316215036082,500,air
1314212823304,24748,air
1314212543856,12504,air
1324222932612,5,air
1324222813495,197,air
1318216884496,7,air
1320219037874,3509,air
1321219816182,0,air
1317220637300,15,air
1324222720765,0,air
1319217942147,0,air
1315214198564,0,air
1314212881914,23700,air
1318217073877,0,air
1322221325881,0,air
1316215582483,0,air
1321220378083,667,air
1315213774680,22168,air
1323222219115,172,air
1321220442267,0,air
1323221663596,6226,air
1321219681160,5715,air
1319218431892,0,air
1319218383901,0,air
1322220650550,2,air
1323221708682,1500,air
1319218447199,10,air
1315213668268,940,air
1319218623837,3557,air
1319217975895,10,air
