document_control_number,source_reduction_activity_code,estimated_annual_reduction_code,activity_number
1314213105101,W54,R5,1
1321219882735,S04,R6,1
1315214206993,W43,R3,1
1314212403315,W39,R5,1
1318217088006,W42,R3,1
1314213022167,W13,R3,1
1318222367880,W52,R5,1
1324222825616,S34,R6,1
1316215558848,W68,R3,1
1320219259215,W13,R6,1
1322221384718,S03,R4,1
1315214299695,W13,R6,1
1315213731437,W50,R6,1
1316215766522,W32,R6,1
1315215827559,W52,R6,1
1315213584675,W36,R5,1
1316215164993,W19,R6,1
1321220399087,S03,R6,1
1315214118933,W13,R6,1
1323222137743,S42,R6,1
1314213237593,W15,R6,1
1319217822143,W50,R2,1
1318217735517,W60,R5,1
1322220910107,S23,R3,1
1323222021457,S35,R6,1
1324222800359,S24,R2,1
1316215045319,W13,R6,1
1318216827459,W52,R4,1
1314212358927,W58,R3,1
1315213798251,W13,R2,1
1323222218289,S21,R5,1
1322220670487,S35,R6,1
1315213714431,W39,R6,1
1319218385019,W50,R5,1
1319218636583,W84,R1,1
1322221426101,S11,R6,1
1321219827730,S21,R6,1
1324222762751,S04,R3,1
1320218717369,W36,R5,1
1321220522852,S34,R2,1
1314212822389,W42,R4,1
1314212992287,W13,R6,1
1324222780429,S33,R6,1
1315213825146,W13,R5,1
1317215820895,W31,R4,1
1322220749497,S21,R4,1
1320219391012,W19,R2,1
1315219461151,W39,R5,1
1315214280772,W43,R2,1
1321219702382,S41,R6,1
1322220766570,S34,R5,1
1316215655186,W19,R2,1
1320219034170,W42,R5,1
1320218774786,W22,R6,1
1324222496301,S04,R3,1
1322220761365,S21,R6,1
1314215201803,W42,R4,1
1317216854048,W52,R5,1
1314212366660,W50,R3,1
1323221915655,S21,R6,1
1321223210131,S41,R6,1
1316215553850,W58,R6,1
1314213099637,W36,R6,1
1315214251946,W42,R1,1
1316215268929,W58,R3,1
1315214365114,W51,R6,1
1316215117211,W21,R4,1
1319217887456,W73,R2,1
1314212900082,W13,R6,1
1314212321855,W13,R6,1
1321219625365,S44,R6,1
1324223159765,S21,R2,1
1319218072674,W19,R5,1
1316215745631,W71,R5,1
1314212396358,W43,R4,1
1316215052770,W65,R6,1
1318216812824,W52,R6,1
1323221648367,S34,R5,1
1322220807337,S05,R1,1
1320220592493,W19,R6,1
1320219337779,W22,R4,1
1324223030925,S21,R5,1
1322220696797,S35,R6,1
1314211934310,W31,R6,1
1324222560233,S35,R5,1
1319218044752,W13,R6,1
1315215311008,W15,R6,1
1322221247745,S06,R5,1
1314212357216,W19,R5,1
1324222579005,S44,R5,1
1315213207501,W31,R6,1
1316215460597,W89,R6,1
1315214371712,W19,R2,1
1314212322325,W13,R6,1
1321220007037,S21,R6,1
1321220188344,S23,R6,1
1320218750141,W81,R6,1
1315213896119,W13,R6,1
1318217218674,W29,R6,1
1314212545432,W22,R6,1
1323221555004,S11,R5,1
1321220587012,S25,R6,1
1320219232535,W33,R6,1
1322221175615,S21,R5,1
1320219278684,W56,R1,1
1324222582443,S05,R5,1
1314212379818,W29,R6,1
1316215596356,W81,R4,1
1323221734953,S44,R6,1
1321219509472,S41,R6,1
1314212909321,W29,R5,1
1314212891143,W39,R6,1
1316215127477,W49,R6,1
1320218999175,W13,R6,1
1316215231147,W52,R3,1
1320218684672,W29,R6,1
1321220522940,S34,R2,1
1324223044227,S21,R3,1
1322221375759,S21,R5,1
1314213104856,W29,R6,1
1316215300916,W42,R2,1
